numberofinjections,activityonline,state,activityclass,industry,size,vulnerabilityscore,potentialdamage
1,5.274137162,VIC,lowrisk,energy,largesize,1.00E-04,57880.66584
1,8.075871167,TAS,medrisk,financials,largesize,0.000299978,69074.74277
1,5.694516599,WA,lowrisk,financials,largesize,0.000499938,74587.88216
1,5.136852805,TAS,lowrisk,consumerstaples,largesize,0.000699878,53478.68114
1,4.376360831,WA,lowrisk,IT,largesize,0.000899798,69957.82826
1,8.991558661,NSW,lowrisk,IT,largesize,0.001099698,68301.23945
1,4.543445631,NT,lowrisk,energy,largesize,0.001299578,68354.17732
1,10.35413785,SA,lowrisk,energy,medsize,0.001499438,48666.10213
1,8.036850776,QLD,lowrisk,health,largesize,0.001699278,55811.42584
1,10.02855095,SA,lowrisk,energy,largesize,0.001899098,80173.68722
1,5.977856913,WA,lowrisk,financials,largesize,0.002098898,64552.18404
1,10.17925046,WA,lowrisk,financials,largesize,0.002298678,60687.81429
1,4.696469621,NSW,lowrisk,energy,medsize,0.002498438,30336.4151
1,9.000408886,QLD,lowrisk,energy,largesize,0.002698178,70026.5237
1,12.18208609,VIC,lowrisk,health,medsize,0.002897898,39520.45707
1,7.399393884,TAS,medrisk,energy,largesize,0.003097598,64423.4357
1,11.3385459,VIC,lowrisk,IT,largesize,0.003297278,58469.82669
1,7.833772066,NT,medrisk,health,largesize,0.003496938,61517.57189
1,4.965769866,VIC,lowrisk,financials,largesize,0.003696578,84243.13624
1,6.512919176,VIC,lowrisk,IT,largesize,0.003896198,69998.11608
1,4.04623018,WA,lowrisk,energy,largesize,0.004095798,61715.16278
1,9.839624471,WA,lowrisk,energy,largesize,0.004295378,58076.99267
1,10.87340185,NT,lowrisk,consumerstaples,largesize,0.004494938,62962.7182
1,10.1659983,QLD,lowrisk,consumerstaples,largesize,0.004694478,48335.2516
1,9.928950646,TAS,lowrisk,financials,largesize,0.004893998,67155.44891
1,10.73858881,NT,lowrisk,health,largesize,0.005093498,60589.27339
1,8.183993454,VIC,lowrisk,health,largesize,0.005292978,79606.15779
1,9.043671902,SA,lowrisk,energy,largesize,0.005492438,77620.67125
1,9.650149107,NSW,lowrisk,financials,largesize,0.005691878,71279.21526
1,11.01767561,QLD,lowrisk,IT,largesize,0.005891298,56632.17702
1,5.233338393,SA,medrisk,energy,largesize,0.006090698,76506.24729
1,6.879783458,VIC,lowrisk,health,largesize,0.006290078,76517.70447
1,6.506501888,QLD,lowrisk,health,largesize,0.006489438,75277.15174
1,9.334525467,WA,lowrisk,financials,largesize,0.006688778,79365.02146
1,9.409566549,NT,lowrisk,financials,largesize,0.006888098,68478.70383
1,10.31324293,NSW,lowrisk,consumerstaples,largesize,0.007087398,72055.15513
1,7.671169575,NSW,medrisk,health,largesize,0.007286678,81003.57989
1,7.576544941,QLD,medrisk,consumerstaples,largesize,0.007485938,65382.52014
1,5.130746902,QLD,lowrisk,consumerstaples,largesize,0.007685178,55207.1623
1,9.074141619,NT,lowrisk,health,largesize,0.007884398,75937.61231
1,6.696081315,WA,lowrisk,health,largesize,0.008083598,75865.06872
1,9.42223956,TAS,lowrisk,consumerstaples,largesize,0.008282778,61895.36869
1,8.556656874,SA,lowrisk,financials,largesize,0.008481938,88988.84846
1,7.266809449,WA,lowrisk,energy,largesize,0.008681078,59554.06291
1,8.352390626,VIC,medrisk,IT,largesize,0.008880198,71484.37716
1,8.959194744,VIC,lowrisk,IT,largesize,0.009079298,45345.98926
1,11.98275694,NT,lowrisk,consumerstaples,medsize,0.009278378,33377.94721
1,11.64330462,SA,lowrisk,consumerstaples,largesize,0.009477438,76308.64991
1,6.090826878,VIC,lowrisk,financials,largesize,0.009676478,67444.54024
1,12.88343235,NT,lowrisk,consumerstaples,medsize,0.009875498,26008.33684
1,9.742655079,TAS,lowrisk,consumerstaples,largesize,0.010074498,72268.38902
1,4.086989965,TAS,medrisk,financials,largesize,0.010273478,63905.59098
1,5.586836197,QLD,lowrisk,health,largesize,0.010472438,70670.85116
1,3.86532906,TAS,lowrisk,health,smallsize,0.010671378,20627.36289
1,4.922290862,NSW,medrisk,health,largesize,0.010870298,53885.74864
1,9.564878659,TAS,lowrisk,energy,largesize,0.011069198,62964.48773
1,10.96225308,QLD,lowrisk,IT,largesize,0.011268078,57645.08725
1,8.304928692,SA,lowrisk,financials,largesize,0.011466938,85621.42893
1,4.982837374,NSW,lowrisk,financials,largesize,0.011665778,81174.56737
1,8.315046806,WA,lowrisk,energy,largesize,0.011864598,59648.57839
1,9.105589348,VIC,lowrisk,health,medsize,0.012063398,43735.18173
1,10.14334445,NT,lowrisk,health,largesize,0.012262178,77181.96208
1,9.577822759,VIC,lowrisk,consumerstaples,smallsize,0.012460938,37562.87273
1,9.44130775,WA,lowrisk,energy,largesize,0.012659678,71019.66556
1,8.134337739,SA,lowrisk,health,smallsize,0.012858398,49743.37357
1,7.906536623,NSW,lowrisk,financials,largesize,0.013057098,67191.53625
1,6.653388144,NT,lowrisk,energy,medsize,0.013255778,33311.70278
1,8.741857739,SA,medrisk,consumerstaples,largesize,0.013454438,74551.12803
1,7.610052287,SA,lowrisk,IT,largesize,0.013653078,55109.93389
1,11.1717901,TAS,lowrisk,consumerstaples,largesize,0.013851698,66861.97433
1,12.92371823,TAS,lowrisk,energy,largesize,0.014050298,67186.74498
1,10.4562222,WA,lowrisk,financials,largesize,0.014248878,76670.9731
1,12.10577263,NT,lowrisk,energy,smallsize,0.014447438,47741.97674
1,5.32896462,SA,lowrisk,health,largesize,0.014645978,70673.58452
1,3.582249737,WA,medrisk,IT,largesize,0.014844498,70318.26103
1,7.542029826,TAS,lowrisk,IT,largesize,0.015042998,75475.92465
1,3.391541848,NSW,lowrisk,health,largesize,0.015241478,80170.68511
1,3.404062453,NT,medrisk,energy,largesize,0.015439938,71333.58345
1,9.386477888,QLD,lowrisk,financials,largesize,0.015638378,62119.47178
1,10.19754253,NT,lowrisk,health,medsize,0.015836798,36431.4709
1,2.538326363,WA,lowrisk,IT,largesize,0.016035198,85355.35216
1,4.052418307,SA,lowrisk,financials,smallsize,0.016233578,38477.01694
1,11.51612753,QLD,lowrisk,energy,largesize,0.016431938,74386.40044
1,6.395465366,VIC,medrisk,IT,largesize,0.016630278,80244.06096
1,9.586671906,VIC,lowrisk,consumerstaples,medsize,0.016828598,42942.96303
1,12.31285131,TAS,lowrisk,health,largesize,0.017026898,67935.97602
1,7.022170181,NSW,lowrisk,consumerstaples,largesize,0.017225178,67191.50635
1,8.185113607,NSW,lowrisk,IT,smallsize,0.017423438,29135.36249
1,8.41879143,QLD,lowrisk,financials,largesize,0.017621678,76397.60291
1,6.782742855,NSW,lowrisk,consumerstaples,largesize,0.017819898,56136.10249
1,3.388628166,WA,lowrisk,IT,largesize,0.018018098,59461.81546
1,6.138638432,NT,lowrisk,financials,largesize,0.018216278,62100.05669
1,5.924882504,WA,lowrisk,health,largesize,0.018414438,61491.22263
1,2.895030828,VIC,lowrisk,IT,largesize,0.018612578,78539.4666
1,8.270417911,VIC,lowrisk,health,largesize,0.018810698,64091.21967
1,7.417627979,TAS,lowrisk,health,largesize,0.019008798,67294.13606
1,11.00173107,WA,lowrisk,consumerstaples,largesize,0.019206878,60379.49191
1,-0.740808272,VIC,highrisk,consumerstaples,smallsize,0.019404938,40409.08267
1,7.279289646,SA,lowrisk,financials,largesize,0.019602978,81316.34971
1,6.165857976,NSW,lowrisk,health,largesize,0.019800998,65907.25655
1,5.875646094,NT,lowrisk,energy,largesize,0.019998998,73673.50048
1,4.910764323,NSW,lowrisk,consumerstaples,largesize,0.020196978,60949.22487
1,5.443611107,VIC,lowrisk,consumerstaples,medsize,0.020394938,45531.03763
1,7.643230267,SA,lowrisk,financials,largesize,0.020592878,78022.84246
1,5.530266478,NSW,lowrisk,energy,medsize,0.020790798,47674.61177
1,8.816116663,TAS,lowrisk,IT,largesize,0.020988698,74081.67318
1,4.612418261,NT,medrisk,financials,largesize,0.021186578,74067.35995
1,5.741955695,SA,lowrisk,consumerstaples,largesize,0.021384438,46022.72708
1,7.164432878,QLD,lowrisk,consumerstaples,medsize,0.021582278,28174.17168
1,8.308685283,VIC,medrisk,IT,largesize,0.021780098,72813.38415
1,6.74249468,SA,lowrisk,IT,largesize,0.021977898,63369.68962
1,9.593527378,NSW,lowrisk,health,largesize,0.022175678,65202.58304
1,3.889274517,NT,lowrisk,financials,largesize,0.022373438,67863.09855
1,10.82792341,VIC,lowrisk,health,largesize,0.022571178,84187.66521
1,4.420830863,NSW,medrisk,financials,largesize,0.022768898,64789.44289
1,7.365012347,TAS,medrisk,energy,largesize,0.022966598,62969.06843
1,6.028331732,QLD,medrisk,IT,largesize,0.023164278,68142.57161
1,7.686221615,QLD,lowrisk,health,largesize,0.023361938,70157.64621
1,7.851560159,VIC,lowrisk,health,medsize,0.023559578,39888.70195
1,8.516144288,QLD,lowrisk,energy,largesize,0.023757198,66998.51506
1,6.666596728,VIC,medrisk,financials,largesize,0.023954798,57045.80368
1,8.84006644,SA,lowrisk,consumerstaples,smallsize,0.024152378,38678.37753
1,12.41425517,WA,lowrisk,energy,largesize,0.024349938,72671.44022
1,6.085453161,WA,lowrisk,IT,largesize,0.024547478,63156.64535
1,9.972185479,NT,lowrisk,health,largesize,0.024744998,74748.55616
1,8.444484981,NSW,lowrisk,financials,largesize,0.024942498,64375.51395
1,8.292530051,WA,lowrisk,IT,largesize,0.025139978,71860.73791
1,3.85958872,QLD,lowrisk,energy,largesize,0.025337438,60859.96655
1,6.341569068,QLD,lowrisk,energy,largesize,0.025534878,50256.55805
1,5.820127015,NSW,lowrisk,consumerstaples,largesize,0.025732298,76563.19079
1,5.696395664,NT,medrisk,financials,smallsize,0.025929698,48935.0659
1,8.851525917,VIC,lowrisk,health,largesize,0.026127078,69431.56356
1,5.440466016,QLD,lowrisk,IT,largesize,0.026324438,82928.1356
1,10.82104136,WA,lowrisk,IT,largesize,0.026521778,51678.46521
1,12.13149342,TAS,lowrisk,consumerstaples,medsize,0.026719098,36278.46023
1,3.873842221,NSW,lowrisk,IT,largesize,0.026916398,43963.36273
1,7.205400333,SA,lowrisk,health,largesize,0.027113678,82439.28256
1,10.26616563,VIC,lowrisk,IT,largesize,0.027310938,59211.0695
1,7.602613164,SA,lowrisk,financials,medsize,0.027508178,28935.61673
1,7.824275971,NSW,lowrisk,financials,largesize,0.027705398,63228.01007
1,6.290479257,VIC,lowrisk,health,medsize,0.027902598,26356.19541
1,6.926800812,NSW,medrisk,consumerstaples,largesize,0.028099778,45176.5232
1,5.808203745,NSW,lowrisk,financials,largesize,0.028296938,62100.55765
1,9.59422403,VIC,medrisk,financials,largesize,0.028494078,70483.15399
1,3.91571712,SA,lowrisk,energy,largesize,0.028691198,76625.06791
1,4.337626053,WA,medrisk,IT,smallsize,0.028888298,42076.69808
1,7.89370869,NT,lowrisk,energy,largesize,0.029085378,55078.15625
1,11.31932402,NSW,lowrisk,financials,largesize,0.029282438,65573.05588
1,4.847747501,VIC,lowrisk,IT,largesize,0.029479478,87302.43689
1,5.865769639,TAS,lowrisk,energy,medsize,0.029676498,41601.99364
1,9.326965901,TAS,lowrisk,consumerstaples,largesize,0.029873498,52086.50679
1,12.38102683,SA,medrisk,IT,largesize,0.030070478,94350.45375
1,8.933858564,NSW,lowrisk,consumerstaples,medsize,0.030267438,39870.72288
1,6.805734855,NT,lowrisk,consumerstaples,largesize,0.030464378,73538.92318
1,6.627045895,QLD,lowrisk,financials,smallsize,0.030661298,52884.42705
1,9.344379394,SA,medrisk,financials,largesize,0.030858198,74260.13957
1,11.17908835,SA,lowrisk,financials,largesize,0.031055078,72681.98838
1,3.612326867,NSW,medrisk,IT,medsize,0.031251938,28151.84467
1,8.772014623,TAS,lowrisk,energy,medsize,0.031448778,24391.45578
1,8.626533498,NT,lowrisk,consumerstaples,largesize,0.031645598,89640.55335
1,6.942518253,NSW,lowrisk,consumerstaples,smallsize,0.031842398,28345.7193
1,7.464128716,WA,medrisk,health,largesize,0.032039178,77128.62648
1,11.45810153,SA,lowrisk,health,largesize,0.032235938,77646.64226
1,13.0367138,WA,lowrisk,IT,smallsize,0.032432678,54080.02937
